player_id,new_team_id,composite_score,old_team_id,old_team_name
141,3,0.3711,2,"House_2"
12,3,0.3579,4,"House_4"
43,3,0.3489,2,"House_2"
38,3,0.3453,2,"House_2"
51,3,0.3395,1,"House_1"
1,3,0.3240,3,"House_3"
179,3,0.3171,3,"House_3"
125,3,0.3125,4,"House_4"
48,3,0.3076,3,"House_3"
143,3,0.2960,1,"House_1"
120,3,0.2934,4,"House_4"
87,3,0.2838,1,"House_1"
185,3,0.2730,1,"House_1"
85,3,0.2579,3,"House_3"
115,3,0.2544,2,"House_2"
76,3,0.2459,2,"House_2"
162,3,0.2321,1,"House_1"
74,3,0.2264,4,"House_4"
137,3,0.2226,1,"House_1"
55,3,0.2137,3,"House_3"
105,3,0.2120,2,"House_2"
77,3,0.1948,3,"House_3"
93,3,0.1904,3,"House_3"
192,3,0.1787,4,"House_4"
92,3,0.1710,2,"House_2"
168,3,0.1643,2,"House_2"
78,3,0.1591,3,"House_3"
57,3,0.1304,4,"House_4"
198,3,0.1184,1,"House_1"
148,3,0.0805,1,"House_1"
66,3,0.0456,1,"House_1"
123,4,0.7016,3,"House_3"
11,4,0.6996,1,"House_1"
109,4,0.6402,2,"House_2"
25,4,0.6384,3,"House_3"
34,4,0.5985,2,"House_2"
23,4,0.5713,4,"House_4"
16,4,0.5292,2,"House_2"
126,4,0.5242,3,"House_3"
28,4,0.4965,4,"House_4"
175,4,0.4876,4,"House_4"
129,4,0.4725,2,"House_2"
52,4,0.4626,2,"House_2"
22,4,0.4366,1,"House_1"
146,4,0.4285,1,"House_1"
73,4,0.4168,1,"House_1"
56,4,0.4157,2,"House_2"
29,4,0.3923,1,"House_1"
107,4,0.3899,4,"House_4"
68,4,0.3782,1,"House_1"
104,4,0.3729,4,"House_4"
88,4,0.3523,4,"House_4"
83,4,0.3519,2,"House_2"
79,4,0.3425,2,"House_2"
24,4,0.3408,3,"House_3"
2,4,0.3198,2,"House_2"
70,4,0.3197,3,"House_3"
112,4,0.3110,4,"House_4"
160,4,0.3091,1,"House_1"
145,4,0.2960,3,"House_3"
90,4,0.2956,1,"House_1"
50,4,0.2800,1,"House_1"
117,4,0.2770,2,"House_2"
187,4,0.2571,2,"House_2"
172,4,0.2550,1,"House_1"
17,4,0.2433,1,"House_1"
89,4,0.2383,2,"House_2"
150,4,0.2250,1,"House_1"
190,4,0.2245,3,"House_3"
119,4,0.2134,3,"House_3"
176,4,0.2130,2,"House_2"
152,4,0.1926,1,"House_1"
154,4,0.1923,4,"House_4"
197,4,0.1748,4,"House_4"
94,4,0.1712,4,"House_4"
39,4,0.1645,3,"House_3"
81,4,0.1644,4,"House_4"
167,4,0.1280,3,"House_3"
186,4,0.1210,2,"House_2"
65,4,0.0802,4,"House_4"
3,4,0.0462,2,"House_2"
